20170711 17:15:00,273930,274273,271900,272649
20170711 17:30:00,272649,272650,271500,271936
20170711 17:45:00,271751,272197,269161,269609
20170711 18:00:00,269609,270318,269601,270028
20170711 18:15:00,270028,270240,270000,270001
20170711 18:30:00,270000,270701,270000,270384
20170711 18:45:00,270595,271595,270384,271399
20170711 19:00:00,271111,272000,270751,271800
20170711 19:15:00,271798,272161,271312,271599
20170711 19:30:00,271599,271599,270040,270670
20170711 19:45:00,270670,270999,269951,270150
20170711 20:00:00,270149,270500,269950,270465
20170711 20:15:00,270465,271440,270291,271108
20170711 20:30:00,271020,271108,269500,270238
20170711 20:45:00,270200,270730,269900,270700
20170711 21:00:00,270700,271500,270590,271400
20170711 21:15:00,271401,273000,271268,272899
20170711 21:30:00,272899,273890,272640,272820
20170711 21:45:00,272991,273930,272552,273691
20170711 22:00:00,273691,275360,273206,275262
20170711 22:15:00,275262,275373,273140,274230
20170711 22:30:00,274230,274637,273590,273754
20170711 22:45:00,273896,274200,271540,272070
20170711 23:00:00,272110,272900,271100,272819
20170711 23:15:00,272819,272910,271646,272000
20170711 23:30:00,271949,272480,271200,271487
20170711 23:45:00,271270,271649,270611,270989
20170712 00:00:00,271202,272566,270980,272191
20170712 00:15:00,272239,272352,271439,271500
20170712 00:30:00,271500,271881,270787,271750
20170712 00:45:00,271750,271793,270611,270900
20170712 01:00:00,270770,271290,270408,270420
20170712 01:15:00,270424,271330,270190,271330
20170712 01:30:00,271330,272215,271279,271962
20170712 01:45:00,271962,272314,271648,272050
20170712 02:00:00,272050,272105,270970,271404
20170712 02:15:00,271055,271451,270826,271459
20170712 02:30:00,271460,271460,270500,270680
20170712 02:45:00,270680,271203,270348,270715
20170712 03:00:00,270665,270681,270110,270305
20170712 03:15:00,270310,270310,268500,268541
20170712 03:30:00,268541,269170,268341,269031
20170712 03:45:00,269031,269909,269031,269691
20170712 04:00:00,269689,269689,268581,269126
20170712 04:15:00,269126,269127,268200,268316
20170712 04:30:00,268300,268340,267472,267863
20170712 04:45:00,267862,268376,267182,267473
20170712 05:00:00,267375,267500,266560,267050
20170712 05:15:00,267000,267080,266468,267020
20170712 05:30:00,267241,267830,266346,267247
20170712 05:45:00,267258,267316,266240,266240
20170712 06:00:00,266221,267240,265850,267100
20170712 06:15:00,267100,268760,267000,268690
20170712 06:30:00,268627,268760,266618,268000
20170712 06:45:00,268041,268860,267500,267533
20170712 07:00:00,267510,268099,266949,267390
20170712 07:15:00,267390,268779,267079,268500
20170712 07:30:00,268481,270000,268191,269600
20170712 07:45:00,269600,269677,267870,268506
20170712 08:00:00,268407,268616,267955,268700
20170712 08:15:00,268700,268744,267540,267606
20170712 08:30:00,267606,268540,267410,268043
20170712 08:45:00,268059,268490,266990,267226
20170712 09:00:00,267130,267620,266450,266770
